Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Crop Name (crop_name),Crop Code (crop_code),Crop Type (crop_type),Season (season),Area (area),Area Unit (area_unit),Production (production),Production Unit (production_unit),Yield (yield),Yield Unit (yield_unit)
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Safflower","1008.0","Oilseeds","Kharif",20,"Hectare",22,"Tonnes",1.1,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Safflower","1008.0","Oilseeds","Rabi",180,"Hectare",198,"Tonnes",1.1,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Safflower","1008.0","Oilseeds","Total",200,"Hectare",220,"Tonnes",1.1,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Sesamum","1003.0","Oilseeds","Kharif",1,"Hectare",0.169,"Tonnes",0.169,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Sesamum","1003.0","Oilseeds","Rabi",11,"Hectare",4,"Tonnes",0.364,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Sesamum","1003.0","Oilseeds","Total",12,"Hectare",4.169,"Tonnes",0.347,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Small Millets","108.0","Cereals","Kharif",2822,"Hectare",507,"Tonnes",0.18,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Small Millets","108.0","Cereals","Rabi",717,"Hectare",599,"Tonnes",0.835,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Small Millets","108.0","Cereals","Total",3539,"Hectare",1106,"Tonnes",0.313,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Soyabean","1009.0","Oilseeds","Kharif",319,"Hectare",88,"Tonnes",0.276,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Soyabean","1009.0","Oilseeds","Rabi",18,"Hectare",5,"Tonnes",0.278,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Soyabean","1009.0","Oilseeds","Total",337,"Hectare",93,"Tonnes",0.276,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Sugarcane","401.0","Sugar","Kharif",26,"Hectare",2238,"Tonnes",86.077,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Sunflower","1007.0","Oilseeds","Kharif",3418,"Hectare",578,"Tonnes",0.169,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Sunflower","1007.0","Oilseeds","Rabi",1243,"Hectare",769,"Tonnes",0.619,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Sunflower","1007.0","Oilseeds","Total",4661,"Hectare",1347,"Tonnes",0.289,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Tobacco","1302.0","Drugs And Narcotics","Kharif",1,"Hectare",2,"Tonnes",2,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Tobacco","1302.0","Drugs And Narcotics","Rabi",9,"Hectare",18,"Tonnes",2,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Tobacco","1302.0","Drugs And Narcotics","Total",10,"Hectare",20,"Tonnes",2,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Urad","203.0","Pulses","Kharif",251,"Hectare",257,"Tonnes",1.024,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Urad","203.0","Pulses","Rabi",735,"Hectare",1076,"Tonnes",1.464,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Urad","203.0","Pulses","Total",986,"Hectare",1333,"Tonnes",1.352,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Wheat","106.0","Cereals","Rabi",14,"Hectare",13,"Tonnes",0.929,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Annamayya","753","Other Rabi Pulses","288.0","Pulses","Rabi",3612,"Hectare",3468,"Tonnes",0.96,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Chittoor","503","Arhar/Tur","202.0","Pulses","Kharif",6988,"Hectare",804,"Tonnes",0.115,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Chittoor","503","Bajra","103.0","Cereals","Kharif",3770,"Hectare",9233,"Tonnes",2.449,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Chittoor","503","Castor Seed","1002.0","Oilseeds","Kharif",21,"Hectare",3,"Tonnes",0.143,"Tonnes/Hectare"
